NAI	COLOR	DATE/TIME GROUP	FROM:	SIZE:	ACTIVITY:	LOCATION:	UNIT/UNIFORM:	TIME:	EQUIPMENT:	REMARKS:
										
	RED	ACETATE #1								
23			JSTARS		Moving			16:27	2 Vehicles	overlaps blue 56
30			JSTARS		NSR			16:30		overlaps blue 57
34			JSTARS		Moving			16:39	4 Vehicles	overlaps blue 58
34			T. Imint		NSR			18:52		overlaps blue 58
	BLUE									
59			JSTARS	40-60	significant milling	NAI 59		17:06	Vehicles	
59			JSTARS		significant milling	near 59/60		13:00-19:00		
60			JSTARS	30-60	significant milling	NAI 60		17:09	vehicles	
58			JSTARS	4	incidental movement	NAI 58		16:39	vehicles	overlaps w/ red NAI 34
58			JSTARS		NSR	NAI 58		18:52		
57			JSTARS		NSR	NAI 57		16:34		overlaps w/red NAI 30
56			JSTARS	2	incidental movement	NAI 56		16:29	vehicles	overlaps w/red NAI 23
50			JSTARS-J-S		NSR			13:05		(J)(S) =? JSTARS?
50			T. Imint		NSR			17:42		
57			JSTARS -J-S		NSR			13:08		must be 52 or something else - 57 already noted
57			T. Imint		NSR			17:44		must be 52 or something else - 57 already noted
52			JSTARS		NSR			17:17		overlaps w/ red NAI 20
52			T. Imint		NSR			18:05		overlaps w/ red NAI 20
53			JSTARS		NSR			15:27		
53			T. Imint		NSR			18:17		
54			JSTARS		NSR			15:29		
54			T. Imint		NSR			18:19		
55			JSTARS	1	incidental movement			15:33	vehicle 	overlaps w/red NAI 22
55			T. Imint	1	digging			18:24	bulldozer	obsticle preparation
55			T. Imint	1	NA			18:24	T-72	
55			T. Imint	2	NA			18:24	trucks	
55			T. Imint	2	NA			18:24	emplacements	dig ditches for tanks
47			JSTARS		NSR			14:17		
47			T. Imint		NSR			17:15		
48			JSTARS		NSR			14:19		
48			T. Imint		NSR			17:35		
	GREEN									
61			HQ(CI)		Partisan meeting	NAI 61		11:00	Don't know	
63			JSTARS		NSR			15:42		
62			JSTARS		NSR	NAI 62		15:22		
71			JSTARS		NSR	NAI 71		16:37		
64			JSTARS		NSR	NAI 64		16:29		
	RED	ACETATE #2								
Out of area			Radio direction finding		Reconaissance communication	25-24		11:45	 	Grid location
15			LRS	15				19:00	"Minefield,15 Emplacements"	
17			LRS	4				19:00	"Minefield,4 Emplacements"	
34			LRS	18				19:00	"Art. ""2-S1"""	overlaps blue 38
17			LRS	15				19:00	"Minefield,15 Emplacements"	
29			LRS	3				19:00	Emplacements	
23			LRS	4				19:00	Emplacements	overlaps blue 56
44			UAV-1		NSR			15:00-19:00		
45			UAV-1		NSR			 		
11			UAV-1		NSR					
10			UAV-1							
9			UAV-1							
6			UAV-1							
3			UAV							
2			UAV							
4			UAV							
1			UAV							
5			UAV							
7			UAV							
8			UAV							
32			UAV							
33			UAV							
	BLUE									
47			UAV							
49			UAV							
53			UAV	4	emplaced			?	BMP's	
53			UAV	3				?	emplacements	
54			UAV	4	emplaced			?	BMP's	
54			UAV	3				?	emplacements	
55			UAV	6				?	emplacements	
55			UAV	4				?	BMP's	
55			UAV	1				?	T-72	
55			UAV					?	minefield	
49			UAV		NSR			15:00-19:00		
18			UAV		NSR			15:00-19:00		
18			UAV	1				?	BRDM vehicle	
52			UAV	4				?	emplacements	
52			UAV		NSR			?		
56			LRS	4				19:00	emplacements	overlaps w/ red NAI 30
